"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","09/03/2012","17:32:13","","datasource [ncaaFootball] doesn't exist"
"ERROR","web-0","09/03/2012","17:32:22","","datasource [ncaaFootball] doesn't exist"
"ERROR","web-0","09/03/2012","17:33:14","","datasource [ncaaFootball] doesn't exist"
"ERROR","web-0","09/03/2012","17:33:18","","datasource [ncaaFootball] doesn't exist"
"ERROR","web-0","09/03/2012","17:37:53","","datasource [ncaafootball] doesn't exist"
"ERROR","web-0","09/03/2012","17:40:19","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '[weekNumber]
			  , [startDate]
			  , [endDate]
			  , [weekType]
			FROM
' at line 2"
"ERROR","web-0","09/03/2012","17:42:51","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '[weekNumber]
			  , [startDate]
			  , [endDate]
			  , [weekType]
			FROM
' at line 2"
"ERROR","web-0","09/03/2012","17:59:48","","invalid component definition, can't find /ncaaFootball.cfc.footballDao"
"ERROR","web-0","09/03/2012","18:00:39","","Page /ncaaFootball/login/checkLogin.cfm [/var/www/ncaaFootball/ncaaFootball/login/checkLogin.cfm] not found"
"ERROR","web-0","09/03/2012","18:00:57","","Page /ncaaFootball/login/checkLogin.cfm [/var/www/ncaaFootball/ncaaFootball/login/checkLogin.cfm] not found"
"ERROR","web-0","09/03/2012","18:01:49","","Page /ncaaFootball/login/checkLogin.cfm [/var/www/ncaaFootball/ncaaFootball/login/checkLogin.cfm] not found"
"ERROR","web-0","09/03/2012","18:02:51","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '[userID]
		      ,[userName]
		      ,[userFullName]
		      ,[userPassword]
		 ' at line 2"
"ERROR","web-0","09/03/2012","18:03:35","","Incorrect parameter count in the call to native function 'ISNULL'"
"ERROR","web-0","09/03/2012","18:09:01","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'FROM
				UserPicks
			WHERE
				1 = 1
				
				AND userid = 1
				
				
' at line 8"
"ERROR","web-0","09/03/2012","18:33:07","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '[weekNumber]
	  , [startDate]
	  , [endDate]
	  , [weekType]
	FROM
		[Footb' at line 2"
"ERROR","web-0","09/03/2012","18:33:14","","Column count doesn't match value count at row 1"
"ERROR","web-0","09/03/2012","18:33:16","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '[weekNumber]
	  , [startDate]
	  , [endDate]
	  , [weekType]
	FROM
		[Footb' at line 2"
"ERROR","web-0","09/03/2012","18:44:44","","Column count doesn't match value count at row 1"
"ERROR","web-0","09/03/2012","18:54:01","","Page /ncaaFootball/login/checkLogin.cfm [/var/www/ncaaFootball/ncaaFootball/login/checkLogin.cfm] not found"
"ERROR","web-0","09/03/2012","18:58:02","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '--check team1name
					IF NOT EXISTS (SELECT [teamID]
								  FROM [Football' at line 1"
"ERROR","web-0","09/03/2012","19:01:02","","key [GAMESARRAYI] doesn't exist in struct (keys:i,WEEKNUMBER,GAMESARRAY,XMLFEED)"
"ERROR","web-0","09/03/2012","19:10:16","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '--check team1name
					IF NOT EXISTS (SELECT teamID
								  FROM FootballTea' at line 1"
"ERROR","web-0","09/03/2012","19:55:06","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'IF EXISTS (SELECT * 
								FROM footballgames 
								WHERE team1Name = 'Ge' at line 1"
"ERROR","web-0","09/03/2012","19:58:15","","Table 'ncaa_football.footballgames' doesn't exist"
"ERROR","web-0","09/03/2012","19:59:03","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '1 teamID FROM FootballTeams WHERE pinnacleTeamName = 'Georgia Tech')
								  ' at line 10"
"ERROR","web-0","09/03/2012","20:01:41","","FUNCTION ncaa_football.getDate does not exist"
